"Scientific Name","Common Name","Where Listed","ESA Listing Status  ","Lead Region  ","Listing Date","Most Recently Completed 5YSR","5YSR Recommendation","Notice of In Progress 5YSR","Notice Date of In Progress 5YSR","Group"
"Catostomus warnerensis","Sucker, Warner","<div>Wherever found</div>","T","1","1985","2019/12/16","No change in Status","No Five Year Review In Progress","","Fishes"
"Setophaga angelae","Warbler, elfin-woods","<div>Wherever found</div>","T","4","2016","2022/10/21","No change in Status","No Five Year Review In Progress","","Birds"
"Cyrtandra paliku","Haiwale","<div>Wherever found</div>","E","1","2010","2022/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pleurobema clava","Clubshell","<div>Wherever found; Except where listed as Experimental Populations</div>","E","5","1993","2019/08/28","No change in Status","No Five Year Review In Progress","","Clams"
"Monardella viminea","Monardella, willowy","<div>Wherever found</div>","E","8","1998","2022/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Phacelia argillacea","Phacelia, clay","<div>Wherever found</div>","E","6","1978","2019/07/11","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Sanicula purpurea","No common name","<div>Wherever found</div>","E","1","1996","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Cyperus pennatiformis","No common name","<div>Wherever found</div>","E","1","1994","2021/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lysimachia maxima","No common name","<div>Wherever found</div>","E","1","1996","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Zanthoxylum dipetalum var. tomentosum","A`e","<div>Wherever found</div>","E","1","1996","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Melicope knudsenii","Alani","<div>Wherever found</div>","E","1","1994","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Cyclura stejnegeri","Iguana, Mona ground","<div>Wherever found</div>","T","4","1978","2022/07/11","No change in Status","No Five Year Review In Progress","","Reptiles"
"Labordia tinifolia var. wahiawaensis","Kamakahala","<div>Wherever found</div>","E","1","1996","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Trillium persistens","Trillium, persistent","<div>Wherever found</div>","E","4","1978","2021/01/25","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Iliamna corei","Mallow, Peter's Mountain","<div>Wherever found</div>","E","5","1986","2019/07/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Keysseria (=Lagenifera) erici","No common name","<div>Wherever found</div>","E","1","2010","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Melicope lydgatei","Alani","<div>Wherever found</div>","E","1","1994","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Parvaspina steinstansana","Spinymussel, Tar River","<div>Wherever found</div>","E","4","1985","2020/11/02","No change in Status","No Five Year Review In Progress","","Clams"
"Cyrtandra munroi","Ha`iwale","<div>Wherever found</div>","E","1","1992","2018/10/22","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Eugenia haematocarpa","Uvillo","<div>Wherever found</div>","E","4","1994","2022/09/07","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pleurobema taitianum","Pigtoe, heavy","<div>Wherever found</div>","E","4","1987","2021/08/26","No change in Status","No Five Year Review In Progress","","Clams"
"Wikstroemia skottsbergiana","No common name","<div></div>","E","1","2016","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Triodopsis platysayoides","Snail, flat-spired three-toothed","<div>Wherever found</div>","T","5","1978","2019/08/23","No change in Status","No Five Year Review In Progress","","Snails"
"Atriplex coronata var. notatior","Crownscale, San Jacinto Valley","<div>Wherever found</div>","E","8","1998","2021/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Ursus maritimus","Bear, polar","<div>Wherever found</div>","T","7","2008","2017/02/03","No change in Status","Initiation of a 5- Year Status Review of the Polar Bear (Ursus maritimus); Request for Information","2021/10/05","Mammals"
"Paroreomyza maculata","Creeper, Oahu","<div>Wherever found</div>","E","1","1970","2019/11/08","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Birds"
"Pituophis melanoleucus lodingi","pinesnake, black","<div>Wherever found</div>","T","4","2015","2022/08/09","No change in Status","No Five Year Review In Progress","","Reptiles"
"Lipochaeta micrantha","nehe","<div>Wherever found</div>","E","1","1994","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Acipenser transmontanus","Sturgeon, white","<div>U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system</div>","E","1","1994","2018/09/25","No change in Status","No Five Year Review In Progress","","Fishes"
"Oreomystis mana","Creeper, Hawaii","<div>Wherever found</div>","E","1","1975","2020/08/07","No change in Status","No Five Year Review In Progress","","Birds"
"Anaxyrus baxteri","Toad, Wyoming","<div>Wherever found</div>","E","6","1984","2019/08/20","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Amphibians"
"Dubautia kalalauensis","Naenae","<div>Wherever found</div>","E","1","2010","2022/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pyrgulopsis roswellensis","Springsnail, Roswell","<div>Wherever found</div>","E","2","2005","2020/05/05","No change in Status","No Five Year Review In Progress","","Snails"
"Sidalcea pedata","Checker-mallow, pedate","<div>Wherever found</div>","E","8","1984","2021/05/24","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eriogonum pelinophilum","wild buckwheat, clay-loving","<div>Wherever found</div>","E","6","1984","2022/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyrtandra nanawaleensis","No common name","<div>Wherever found</div>","E","1","2013","2020/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cicurina venii","Meshweaver, Braken Bat Cave","<div>Wherever found</div>","DNS","2","2000","2022/08/24","Delist: The listed entity does not meet the statutory definition of a species","No Five Year Review In Progress","","Arachnids"
"Labordia triflora","Kamakahala","<div>Wherever found</div>","E","1","1999","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Ribes echinellum","Gooseberry, Miccosukee","<div></div>","T","4","1985","2022/02/04","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Fusconaia escambia","Pigtoe, narrow","<div>Wherever found</div>","T","4","2012","2022/09/13","No change in Status","No Five Year Review In Progress","","Clams"
"Bufo houstonensis","Toad, Houston","<div>Wherever found</div>","E","2","1970","2018/07/06","No change in Status","No Five Year Review In Progress","","Amphibians"
"Polyscias racemosa","No common name","<div>Wherever found</div>","E","1","1994","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Polygonella myriophylla","Sandlace","<div></div>","E","4","1993","2021/09/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Drosophila tarphytrichia","fly, Hawaiian picture-wing","<div>Wherever found</div>","E","1","2006","2019/05/20","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Insects"
"Obovaria choctawensis","Bean, Choctaw","<div>Wherever found</div>","E","4","2012","2022/09/13","No change in Status","No Five Year Review In Progress","","Clams"
"Cercocarpus traskiae","Mountain-mahogany, Catalina Island","<div>Wherever found</div>","E","8","1997","2021/06/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Notropis cahabae","Shiner, Cahaba","<div>Wherever found</div>","E","4","1990","2022/11/09","No change in Status","No Five Year Review In Progress","","Fishes"
"Gopherus polyphemus","Tortoise, gopher","<div>Western DPS</div>","T","4","1987","2022/10/12","No change in Status","No Five Year Review In Progress","","Reptiles"
"Physaria douglasii ssp. tuplashensis","Bladderpod, White Bluffs","<div>Wherever found</div>","T","1","2013","2020/10/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Geocarpon minimum","No common name","<div>Wherever found</div>","T","4","1987","2016/07/20","No change in Status","Initiation of 5-Year Status Reviews for 37 Southeastern Species; request for information","2021/07/14","Flowering Plants"
"Cyanea st.-johnii","Haha","<div>Wherever found</div>","E","1","1996","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Clermontia oblongifolia ssp. mauiensis","`Oha wai","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Verbena californica","Vervain, Red Hills","<div>Wherever found</div>","T","8","1998","2022/05/06","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eriogonum gypsophilum","Wild-buckwheat, gypsum","<div>Wherever found</div>","T","2","1981","2022/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schoenocrambe suffrutescens","Reed-mustard, shrubby","<div>Wherever found</div>","E","6","1987","2019/08/07","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Alasmidonta raveneliana","Elktoe, Appalachian","<div>Wherever found</div>","E","4","1994","2022/07/29","No change in Status","No Five Year Review In Progress","","Clams"
"Amaranthus brownii","No common name","<div>Wherever found</div>","E","1","1996","2021/08/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pleurocera foremani","Hornsnail, rough","<div>Wherever found</div>","E","4","2010","2022/12/30","Downlist to T","No Five Year Review In Progress","","Snails"
"Oncorhynchus clarkii seleniris","Trout, Paiute cutthroat","<div>Wherever found</div>","T","8","1967","2020/09/29","No change in Status","No Five Year Review In Progress","","Fishes"
"Cyrtandra oenobarba","Ha`iwale","<div>Wherever found</div>","E","1","2010","2022/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Catesbaea melanocarpa","No common name","<div>Wherever found</div>","E","4","1999","2018/09/25","No change in Status","Initiation of 5- Year Status Reviews for 35 Southeastern Species; Request for Information","2022/05/13","Flowering Plants"
